Similarity,Department_1,Department_2
0.73084944,GRK,POSC
0.73082507,ARCN,PHIL
0.7306798,GWSS,PHYS
0.73057324,CGSC,STAT
0.7296868,DGAH,ECON
0.7288822,LING,PHIL
0.72868687,IDSC,SOAN
0.7285385,HEBR,MATH
0.72779244,CGSC,GERM
0.72756195,AMST,LTAM
0.7273643,AFST,ECON
0.72714907,ASTR,BIOL
0.7267666,CS,SOAN
0.7267505,OCP,PHIL
0.72613275,RUSS,SPAN
0.72604746,DANC,IDSC
0.72587204,IDSC,MEST
0.72443587,ARTS,NEUR
0.7243234,GRK,HEBR
0.72394466,ARBC,ASLN
0.7228333,AFST,SOAN
0.72245026,BIOC,POSC
0.72202116,GERM,LATN
0.7220148,NEUR,PSYC
0.7219837,JAPN,NEUR
0.7209422,CHEM,PSYC
0.72078824,GRK,STAT
0.7204393,AFST,HIST
0.7190485,JAPN,THEA
0.71640724,MELA,POSC
0.7161555,BIOL,CHEM
0.71553844,HEBR,PHYS
0.71533424,DGAH,STAT
0.7135243,CHIN,PHYS
0.71348464,CLAS,MUSC
0.71335506,CCST,SPAN
0.71319175,CLAS,ECON
0.7126911,CHEM,ECON
0.7125999,ARTS,DANC
0.7125508,FREN,SPAN
0.712179,OCP,RELG
0.71116453,MATH,SOAN
0.71083844,CAMS,CHEM
0.710266,PHIL,THEA
0.70994157,DANC,GEOL
0.709554,JAPN,RUSS
0.7095215,AMST,GERM
0.7095199,AMST,SOAN
0.7092798,ARTH,GWSS
0.70851296,ARCN,GERM
0.7084801,LATN,SPAN
0.70791274,ARBC,HEBR
0.7079005,JAPN,SOAN
0.70707655,EDUC,LTAM
0.7069458,ARTS,PHYS
0.70657045,DGAH,MUSC
0.7059286,RUSS,THEA
0.7058309,GWSS,LTAM
0.70465434,DGAH,GEOL
0.7038323,ARBC,PHYS
0.7034012,GEOL,MATH
0.70338964,DGAH,GERM
0.70312357,BIOC,SPAN
0.70283544,IDSC,RELG
0.70282465,GRK,LING
0.7027901,HEBR,RUSS
0.70277995,ASLN,ECON
0.70238453,CHIN,STAT
0.70235336,ASLN,DANC
0.7014912,CLAS,FREN
0.70135444,ARCN,PHYS
0.70104694,BIOC,DANC
0.7003423,AFST,POSC
0.7003162,ARBC,ENGL
0.69991386,CAMS,MATH
0.69945604,ARTS,ECON
0.6993806,MEST,SOAN
0.6986675,CLAS,THEA
0.69860125,CHIN,GERM
0.69808763,ARTH,PSYC
0.69761807,GRK,RUSS
0.6975458,RUSS,SOAN
0.69703424,RUSS,STAT
0.69693524,CGSC,MUSC
0.6968096,GERM,GRK
0.6967773,POSC,SOAN
0.6966506,ARTH,PHYS
0.69663584,BIOL,HIST
0.6960515,AFST,EDUC
0.695968,MEST,MUSC
0.6952437,CHEM,SPAN
0.69515,PHYS,POSC
0.69497925,CHEM,RELG
0.69453716,POSC,PSYC
0.6943561,CHIN,DANC
0.6942158,CLAS,SPAN
0.69406337,AFST,PHIL
0.6936712,MUSC,SPAN
0.6935453,ECON,MATH
0.6934094,AFST,ARTH
0.6933802,ARTS,GEOL
0.69324386,ASTR,SPAN
0.6930719,LATN,RUSS
0.69276047,ASTR,CGSC
0.69205403,CLAS,PHYS
0.69173235,CHEM,PHYS
0.6911156,ARBC,DANC
0.6908746,DANC,POSC
0.6906454,LATN,MATH
0.69036925,BIOC,ECON
0.69021666,GRK,PSYC
0.6900955,LING,SPAN
0.6898879,NEUR,STAT
0.6897492,ASTR,IDSC
0.68963355,CS,NEUR
0.6892607,CHEM,DANC
0.6888278,CGSC,DANC
0.68872076,LATN,RELG
0.68864256,CHIN,GEOL
0.6875199,AMST,GWSS
0.68710124,EDUC,POSC
0.68676007,ARBC,CGSC
0.68661416,ASLN,GEOL
0.6865796,IDSC,PHIL
0.68643963,CAMS,SPAN
0.68600214,GRK,RELG
0.68589944,ASLN,PSYC
0.6852944,ARBC,IDSC
0.68514186,CLAS,RELG
0.68479556,AMST,FREN
0.6846977,CHEM,MUSC
0.6846769,ASLN,CHEM
0.68440646,CS,POSC
0.6840955,IDSC,MUSC
0.6838434,ARCN,FREN
0.683587,AMST,ENGL
0.68320674,CHEM,RUSS
0.68308496,ARCN,LATN
0.6826804,DANC,SPAN
0.68266094,DGAH,EDUC
0.6821537,ECON,STAT
0.6819621,ASLN,STAT
0.6816148,JAPN,POSC
0.6808825,LING,PHYS
0.68015367,JAPN,PSYC
0.6799153,LTAM,PHIL
0.67910206,GRK,IDSC
0.6790851,LATN,STAT
0.6781611,ARTH,ECON
0.67808783,DGAH,PHIL
0.6774837,PHIL,RELG
0.67744255,ASLN,SPAN
0.67728454,CGSC,PSYC
0.6763543,ASLN,PHIL
0.67620736,EUST,THEA
0.67567325,LATN,LING
0.67562616,OCP,POSC
0.67421615,EDUC,RUSS
0.6740678,ARBC,BIOL
0.67386675,IDSC,STAT
0.6735888,LING,RELG
0.6731056,MELA,PSYC
0.67287266,CCST,RUSS
0.67287225,EUST,PHIL
0.6725495,ARTH,SOAN
0.6722954,EDUC,HIST
0.67173064,BIOC,CHEM
0.6716472,EDUC,IDSC
0.67144495,CS,ENGL
0.6712046,PHIL,SPAN
0.67102206,ASTR,GERM
0.6709621,GRK,NEUR
0.6704713,BIOL,GERM
0.67031217,MUSC,RELG
0.67016745,BIOL,EDUC
0.6697338,DGAH,LATN
0.6695192,GERM,RUSS
0.6693845,CAMS,MUSC
0.66908383,BIOL,JAPN
0.66827464,ASTR,POSC
0.66788167,ARCN,ASST
0.66781515,CHEM,HEBR
0.6675183,DGAH,MEST
0.6674911,CGSC,FREN
0.6670359,ASLN,HIST
0.66658443,HEBR,LATN
0.666305,CHIN,FREN
0.6652387,IDSC,LING
0.66423106,ECON,PSYC
0.6635425,MUSC,SOAN
0.66317314,ARTS,MATH
0.6630508,CCST,MATH
0.6628658,CLAS,SOAN
0.6627246,ARBC,THEA
0.6620603,CHIN,POSC
0.66108006,HEBR,PSYC
0.66096336,MATH,MUSC
0.66049665,GRK,MUSC
0.6603398,EDUC,GRK
0.66020375,GEOL,STAT
0.66017705,LTAM,RUSS
0.6594973,FREN,LING
0.6594387,AMST,SPAN
0.65882576,IDSC,JAPN
0.65852046,ASST,PHIL
0.65847594,CGSC,ECON
0.6582419,ASST,MATH
0.6577578,DANC,PSYC
0.6577463,DGAH,ENGL
0.6567077,MEST,SPAN
0.65644896,GEOL,MUSC
0.65588105,BIOC,RUSS
0.65559876,ARBC,ASTR
0.6549173,CS,IDSC
0.6542768,ARCN,JAPN
0.6524987,CHIN,CS
0.6518782,BIOL,THEA
0.6515194,ENGL,SOAN
0.65151715,ASLN,GWSS
0.65145355,ENGL,NEUR
0.6513834,IDSC,PSYC
0.65100884,HEBR,RELG
0.65083987,AMST,ARCN
0.65045714,CS,LING
0.6503992,LATN,MEST
0.65021527,CHEM,ENGL
0.65011346,ENGL,IDSC
0.64919156,ASLN,CHIN
0.6486451,ASST,THEA
0.6477717,SPAN,STAT
0.6474857,CCST,STAT
0.64710224,LTAM,PHYS
0.64686817,CHEM,THEA
0.6468376,CS,ECON
0.64681554,IDSC,THEA
0.6466871,MUSC,PHYS
0.6464343,CGSC,SOAN
0.6463916,LING,STAT
0.64480454,BIOL,DGAH
0.64376885,EDUC,RELG
0.6435614,BIOL,STAT
0.6435247,CHIN,GRK
0.64341813,CGSC,NEUR
0.6433805,ARBC,HIST
0.6430854,GWSS,MELA
0.6428294,LING,RUSS
0.64281905,NEUR,SPAN
0.64252096,CS,PHIL
0.6425106,ENGL,HEBR
0.6422914,HEBR,POSC
0.64194506,ECON,JAPN
0.64160615,ASST,RUSS
0.641256,CCST,CHEM
0.6412526,GERM,IDSC
0.64114225,ASLN,CS
0.6407507,ARTS,STAT
0.6404352,CCST,ENGL
0.64022624,DANC,GRK
0.63972265,LATN,LTAM
0.63962907,ECON,POSC
0.63932145,CAMS,HEBR
0.6391973,ARTS,CS
0.63878953,ARBC,MEST
0.63875276,ASST,CS
0.63849723,ARBC,CHIN
0.6383149,ENGL,PHYS
0.6377166,BIOL,RELG
0.6372026,AMST,RUSS
0.637159,MEST,NEUR
0.63645726,CAMS,IDSC
0.63599116,GEOL,RELG
0.6356359,CHEM,PHIL
0.63559586,ASLN,MUSC
0.6348583,AMST,EDUC
0.63451445,GWSS,SPAN
0.6344937,GEOL,SOAN
0.6344631,CS,EDUC
0.63437337,BIOL,PHYS
0.63426125,IDSC,LATN
0.6338424,CHEM,CHIN
0.63324517,ARCN,CHIN
0.6331971,DANC,MATH
0.6331177,ARTS,CHEM
0.63280565,LING,SOAN
0.63257134,CAMS,RUSS
0.63246554,LING,MUSC
0.6318707,FREN,PHYS
0.6304168,JAPN,PHIL
0.62973,PSYC,SOAN
0.6296945,HEBR,MUSC
0.62952286,GRK,MEST
0.6285714,AMST,ECON
0.62843657,ENGL,RUSS
0.62803364,DGAH,LTAM
0.6277186,GERM,MUSC
0.62720495,ARTS,GERM
0.6268405,EUST,HIST
0.625969,BIOC,BIOL
0.625153,EUST,FREN
0.6247543,ARBC,GEOL
0.6238126,IDSC,PHYS
0.62306684,OCP,PSYC
0.6226116,AFST,ASST
0.6224519,OCP,SPAN
0.62244666,CGSC,LING
0.6222622,ARBC,STAT
0.6219867,CHEM,IDSC
0.6218818,CGSC,CS
0.6206752,CS,GEOL
0.620268,CGSC,THEA
0.62022436,GERM,PSYC
0.61990714,EDUC,SOAN
0.6196508,CCST,RELG
0.61962247,NEUR,PHYS
0.6195603,CGSC,RELG
0.61884606,ARBC,BIOC
0.618232,LTAM,SOAN
