source node,target node,similarity score
MATH 232,STAT 220,0.7832562
MATH 232,PHYS 145,0.78310746
MATH 236,STAT 230,0.8771573
MATH 236,ASTR 233,0.869247
MATH 236,STAT 220,0.83114034
MATH 236,STAT 120,0.83067113
MATH 236,CS 254,0.8268084
MATH 236,MATH 342,0.80488133
MATH 236,MATH 111,0.789369
MATH 241,CS 304,0.76279175
MATH 241,ECON 265,0.7522168
MATH 241,STAT 220,0.75078684
MATH 271,MATH 271,0.9999999
MATH 271,CS 348,0.8371738
MATH 271,ECON 265,0.8276092
MATH 271,MATH 232,0.8179441
MATH 271,CS 111,0.79990655
MATH 271,MATH 331,0.7853602
MATH 271,CS 252,0.7840763
MATH 297,STAT 297,0.996016
MATH 297,CHEM 352,0.7114126
MATH 297,ARTS 262,0.6947647
MATH 331,MATH 271,0.7853602
MATH 331,BIOL 352,0.78009415
MATH 331,CHEM 351,0.7643821
MATH 341,ASTR 233,0.8676891
MATH 341,PHYS 235,0.85119325
MATH 341,PHYS 341,0.77703255
MATH 341,PHYS 145,0.7694986
MATH 341,MATH 342,0.7547516
MATH 341,MATH 236,0.75332737
MATH 342,MATH 111,0.8509932
MATH 342,MATH 236,0.80488133
MATH 342,STAT 220,0.79317343
MATH 342,ECON 265,0.7725211
MATH 342,MATH 134,0.7633314
MATH 342,MATH 341,0.7547516
MELA 230,RELG 221,0.81294185
MELA 230,GWSS 110,0.7486096
MELA 230,HIST 276,0.7473955
MEST 395,EUST 101.07,0.8294003
MEST 395,RUSS 307,0.8249254
MEST 395,ARBC 371,0.78047967
MUSC 127,MUSC 227,0.7274578
MUSC 127,MUSC 217,0.6984387
MUSC 127,AMST 269,0.68460006
MUSC 204,MUSC 204,0.9999999
MUSC 204,DANC 350,0.6724768
MUSC 204,THEA 245,0.6672637
MUSC 217,GERM 217,0.8015622
MUSC 217,HIST 276,0.7644083
MUSC 217,MUSC 127,0.6984387
MUSC 221,CAMS 111,0.78259254
MUSC 221,ARTS 139,0.775244
MUSC 221,ARTS 339,0.76364934
MUSC 227,PSYC 216,0.81932235
MUSC 227,PSYC 220,0.8175252
MUSC 227,STAT 230,0.7746229
MUSC 227,MATH 236,0.7544499
MUSC 299,ECON 330,0.77347124
MUSC 299,ECON 331,0.771883
MUSC 299,ECON 111,0.66287625
MUSC 313,LING 110,0.6860246
MUSC 313,LING 115,0.6303056
MUSC 313,SOAN 262,0.62995934
NEUR 238,STAT 230,0.7404482
NEUR 238,GEOL 255,0.7354182
NEUR 238,STAT 120,0.72329265
NEUR 239,GEOL 240,0.8446267
NEUR 239,BIOC 311,0.8210518
NEUR 239,PHYS 142,0.782537
NEUR 239,THEA 110,0.7818298
NEUR 239,GEOL 255,0.7797943
NEUR 239,DANC 310,0.7794422
NEUR 239,ARTS 262,0.77116776
NEUR 395,ASTR 113,0.8110051
NEUR 395,ARTS 252,0.7921569
NEUR 395,RUSS 307,0.74498075
PHIL 119,EDUC 242,0.7239486
PHIL 119,RUSS 267,0.66404164
PHIL 119,BIOL 378,0.64669496
PHIL 124,PHIL 124,0.99999994
PHIL 124,EDUC 110,0.8288218
PHIL 124,PHIL 209,0.78895676
PHIL 124,BIOL 378,0.7813857
PHIL 124,IDSC 251,0.7664662
PHIL 202,PHIL 202,0.9999999
PHIL 202,SPAN 208,0.6929354
PHIL 202,EUST 101.07,0.6480489
PHIL 209,PHIL 124,0.78895676
PHIL 209,CS 201,0.72081524
PHIL 209,AMST 396.00,0.66939896
PHIL 210,PHIL 210,0.99999994
PHIL 210,CS 208,0.75916976
PHIL 210,PHIL 270,0.74250704
PHIL 219,ENGL 115,0.6995786
PHIL 219,RELG 344,0.6913053
PHIL 219,RELG 121,0.6790999
PHIL 270,PHIL 210,0.74250704
PHIL 270,POSC 160,0.73424315
PHIL 270,RELG 213,0.7032039
PHIL 289,PHIL 289,0.99999994
PHIL 289,CLAS 142,0.73326266
PHIL 289,ENGL 371,0.6847495
PHYS 123,EDUC 385,0.86768657
PHYS 123,IDSC 298,0.728685
PHYS 123,IDSC 280,0.720777
PHYS 142,PHYS 142,0.99999994
PHYS 142,THEA 110,0.84396327
PHYS 142,PHYS 145,0.79646385
PHYS 142,NEUR 239,0.782537
PHYS 142,GEOL 240,0.7686978
PHYS 145,PHYS 234,0.8377869
PHYS 145,CHEM 352,0.79825634
PHYS 145,PHYS 142,0.79646385
PHYS 145,MATH 111,0.78332925
PHYS 145,MATH 232,0.78310746
PHYS 145,MATH 341,0.7694986
PHYS 145,ARTS 262,0.7559869
PHYS 234,STAT 220,0.86342657
PHYS 234,PHYS 145,0.8377869
PHYS 234,MATH 134,0.8374789
PHYS 234,MATH 232,0.83712393
PHYS 234,STAT 250,0.82449454
PHYS 234,STAT 230,0.8197676
PHYS 234,MATH 236,0.76623416
PHYS 235,MATH 341,0.85119325
PHYS 235,ASTR 233,0.763902
PHYS 235,PHYS 341,0.7319093
PHYS 341,PHYS 341,0.99999994
PHYS 341,MATH 341,0.77703255
PHYS 341,ECON 265,0.75188357
PHYS 342,PHYS 342,0.99999994
PHYS 342,GEOL 240,0.834369
PHYS 342,ARTS 252,0.8140893
PHYS 342,BIOC 311,0.7830172
PHYS 342,GEOL 255,0.77858514
PHYS 342,ECON 110,0.7723396
PHYS 342,MATH 236,0.7721168
PHYS 352,BIOL 352,0.8126973
PHYS 352,PSYC 201,0.7283397
PHYS 352,STAT 120,0.69517195
POSC 120,POSC 120,0.99999994
POSC 120,JAPN 343,0.7657552
POSC 120,HIST 308,0.7632142
POSC 120,ASST 285,0.7524241
POSC 120,GWSS 110,0.75026494
POSC 160,POSC 302,0.80086154
POSC 160,PHIL 270,0.73424315
POSC 160,SOAN 110,0.72979826
POSC 170,POSC 170,0.9999999
POSC 170,RELG 213,0.8013752
POSC 170,ASST 285,0.73358715
POSC 201,CAMS 214,0.72371036
POSC 201,POSC 322,0.6648228
POSC 201,DANC 309,0.6589808
POSC 206.00,PSYC 389,0.8250146
POSC 206.00,ENGL 230,0.7564192
POSC 206.00,ECON 270,0.68436825
POSC 230,PSYC 200,0.68659115
POSC 230,NEUR 239,0.6784202
POSC 230,ARTS 262,0.6696444
POSC 231,ECON 269,0.6537094
POSC 231,POSC 322,0.6518767
POSC 231,ECON 277,0.6101206
POSC 232.01,MATH 241,0.7423207
POSC 232.01,STAT 250,0.6931315
POSC 232.01,STAT 230,0.6755042
POSC 232.02,SPAN 103,0.813994
POSC 232.02,ARBC 206,0.7899519
POSC 232.02,FREN 103,0.75174916
POSC 242,RELG 110,0.73626626
POSC 242,HIST 206,0.7277161
POSC 242,HIST 251,0.7037246
POSC 252,POSC 252,0.99999994
POSC 252,CS 254,0.6878099
POSC 252,FREN 245,0.662746
POSC 266,POSC 266,0.99999994
POSC 266,LTAM 220,0.706144
POSC 266,SOAN 214,0.6531511
POSC 272,POSC 272,0.9999999
POSC 272,ENGL 395.00,0.6275375
POSC 272,CS 202,0.6231552
POSC 302,RELG 213,0.8402463
POSC 302,POSC 160,0.80086154
POSC 302,POSC 333,0.76824456
POSC 315,POSC 315,0.9999999
POSC 315,HIST 270,0.81250656
POSC 315,SOAN 323,0.8020559
POSC 315,RELG 261,0.7586325
POSC 315,HIST 251,0.7565268
POSC 322,POSC 322,0.9999999
POSC 322,HIST 205,0.86792904
POSC 322,HIST 308,0.79384977
POSC 322,CLAS 123,0.7817224
POSC 322,HIST 111,0.76467216
POSC 322,HIST 251,0.7625608
POSC 322,CAMS 214,0.7521785
POSC 333,POSC 333,0.9999999
POSC 333,CS 311,0.7726799
POSC 333,POSC 302,0.76824456
POSC 348,POSC 348,0.99999994
POSC 348,RELG 213,0.7645861
POSC 348,FREN 310,0.7583639
PSYC 110,ENGL 268,0.69452626
PSYC 110,MATH 241,0.6942231
PSYC 110,POSC 206.00,0.6713737
PSYC 200,STAT 250,0.84552664
PSYC 200,CS 254,0.82917476
PSYC 200,CS 111,0.7985218
PSYC 200,STAT 320,0.7899861
PSYC 200,CS 252,0.78436685
PSYC 200,STAT 230,0.7648414
PSYC 201,CHEM 351,0.83227724
PSYC 201,CHEM 348,0.81322813
PSYC 201,CHEM 234,0.74525034
PSYC 216,PSYC 216,0.99999994
PSYC 216,PSYC 217,0.9151693
PSYC 216,PSYC 256,0.9104982
PSYC 216,PSYC 257,0.8890254
PSYC 216,MUSC 227,0.81932235
PSYC 216,BIOL 241,0.78403026
PSYC 216,PSYC 220,0.7798679
PSYC 217,PSYC 216,0.9151693
PSYC 217,PSYC 257,0.81958544
PSYC 217,PSYC 256,0.77670985
PSYC 217,BIOL 241,0.7729207
PSYC 217,CHEM 351,0.7706756
PSYC 217,CHEM 349,0.7546973
PSYC 220,MUSC 227,0.8175252
PSYC 220,PSYC 216,0.7798679
PSYC 220,PSYC 217,0.69358075
PSYC 256,PSYC 216,0.9104982
PSYC 256,PSYC 257,0.8962155
PSYC 256,BIOL 241,0.7817403
PSYC 256,PSYC 217,0.77670985
PSYC 256,CHEM 349,0.752205
PSYC 257,PSYC 256,0.8962155
PSYC 257,PSYC 216,0.8890254
PSYC 257,PSYC 217,0.81958544
PSYC 257,BIOL 241,0.7765243
PSYC 354,ASTR 113,0.6923903
PSYC 354,ECON 269,0.6776931
PSYC 354,DANC 309,0.6641126
PSYC 382,PSYC 382,0.99999994
PSYC 382,ARCN 112,0.8228587
PSYC 382,SPAN 369,0.7633953
PSYC 389,POSC 206.00,0.8250146
PSYC 389,SOAN 228,0.7676812
PSYC 389,ENGL 230,0.7657064
PSYC 389,SPAN 263,0.751051
RELG 110,SPAN 369,0.8561042
RELG 110,HIST 209,0.84006447
RELG 110,ASST 285,0.827501
RELG 110,ARCN 112,0.79518247
RELG 110,HIST 251,0.788243
RELG 110,RELG 221,0.7850483
RELG 110,JAPN 343,0.7841988
RELG 121,HIST 308,0.76558626
RELG 121,SOAN 313,0.7549803
RELG 121,HIST 265,0.73052555
RELG 155,ENGL 202,0.82316804
RELG 155,RELG 344,0.70728344
RELG 155,SOAN 312,0.70695776
RELG 213,RELG 213,0.99999994
RELG 213,RELG 265,0.8464561
RELG 213,POSC 302,0.8402463
RELG 213,POSC 170,0.8013752
RELG 213,POSC 348,0.7645861
RELG 213,GERM 221,0.7569969
RELG 213,CS 201,0.7535026
RELG 221,RELG 221,0.99999994
RELG 221,HIST 209,0.84381187
RELG 221,RELG 265,0.83300316
RELG 221,SPAN 369,0.82447535
RELG 221,ARCN 112,0.81411225
RELG 221,MELA 230,0.81294185
RELG 221,RELG 110,0.7850483
RELG 261,HIST 276,0.7893652
RELG 261,POSC 315,0.7586325
RELG 261,HIST 347,0.7567258
RELG 265,RELG 213,0.8464561
RELG 265,RELG 221,0.83300316
RELG 265,POSC 302,0.7489623
RELG 344,AMST 115,0.807754
RELG 344,AMST 269,0.75049424
RELG 344,GWSS 398.00,0.7496902
RUSS 103,RUSS 307,0.8602848
RUSS 103,IDSC 198,0.7986519
RUSS 103,IDSC 298,0.72706825
RUSS 110,RUSS 309,0.8582943
RUSS 110,RUSS 228F,0.82563156
RUSS 110,DANC 206,0.7502263
RUSS 207,RUSS 209,0.86558086
RUSS 207,RUSS 309,0.8532547
RUSS 207,ECON 331,0.7959657
RUSS 207,RUSS 307,0.77756494
RUSS 207,ECON 330,0.7724506
RUSS 209,RUSS 207,0.86558086
RUSS 209,ECON 331,0.85514873
RUSS 209,RUSS 309,0.77649844
RUSS 209,ECON 330,0.7525333
RUSS 228,RUSS 228,0.99999994
RUSS 228,HIST 265,0.7701128
RUSS 228,CHIN 251,0.76134115
RUSS 228F,RUSS 110,0.82563156
RUSS 228F,IDSC 202,0.8057932
RUSS 228F,CAMS 229,0.75810695
RUSS 266,RUSS 266,0.99999994
RUSS 266,BIOL 378,0.72652465
RUSS 266,FREN 210,0.71005976
RUSS 267,EDUC 242,0.75143677
RUSS 267,POSC 315,0.7420292
RUSS 267,BIOL 378,0.7042394
RUSS 307,RUSS 103,0.8602848
RUSS 307,RUSS 309,0.8435454
RUSS 307,MEST 395,0.8249254
RUSS 307,IDSC 198,0.7876808
RUSS 307,RUSS 207,0.77756494
RUSS 307,LATN 103,0.7675829
RUSS 307,GERM 103,0.76087403
RUSS 309,RUSS 110,0.8582943
RUSS 309,RUSS 207,0.8532547
RUSS 309,RUSS 307,0.8435454
RUSS 309,DANC 206,0.79136974
RUSS 309,RUSS 209,0.77649844
SOAN 110,SOAN 110,0.99999976
SOAN 110,LING 135,0.75612354
SOAN 110,RELG 213,0.7495093
SOAN 111,FREN 245,0.7397148
SOAN 111,JAPN 103,0.674862
SOAN 111,PHIL 270,0.662285
SOAN 214,SOAN 214,0.99999994
SOAN 214,POSC 266,0.6531511
SOAN 214,ENGL 115,0.58737427
SOAN 228,SOAN 228,0.9999999
SOAN 228,AMST 269,0.7927368
SOAN 228,PSYC 389,0.7676812
SOAN 240,CAMS 186,0.7204941
SOAN 240,CS 257,0.7200086
SOAN 240,CS 347,0.7127138
SOAN 262,SOAN 262,0.99999994
SOAN 262,POSC 348,0.7200799
SOAN 262,POSC 120,0.6948201
SOAN 312,ENGL 395.00,0.7373926
SOAN 312,RUSS 209,0.71556586
SOAN 312,SOAN 228,0.7109048
SOAN 313,SOAN 313,0.99999994
SOAN 313,RELG 121,0.7549803
SOAN 313,SOAN 262,0.6879165
SOAN 323,SOAN 323,0.9999999
SOAN 323,POSC 315,0.8020559
SOAN 323,RELG 261,0.6944537
SPAN 103,SPAN 103,0.99999994
SPAN 103,FREN 103,0.96798414
SPAN 103,JAPN 206,0.8252349
SPAN 103,POSC 232.02,0.813994
SPAN 103,GRK 102,0.7983795
SPAN 103,JAPN 103,0.79738873
SPAN 103,ARTS 374,0.778028
SPAN 205,GRK 102,0.80829436
SPAN 205,JAPN 103,0.7723143
SPAN 205,CHEM 224,0.75344133
SPAN 208,FREN 210,0.8420745
SPAN 208,SPAN 103,0.72370446
SPAN 208,CHIN 206,0.70797753
SPAN 220,SPAN 220,0.9999999
SPAN 220,CLAS 142,0.7524897
SPAN 220,FREN 259,0.72527856
SPAN 263,GERM 217,0.7603309
SPAN 263,PSYC 389,0.751051
SPAN 263,SOAN 228,0.7077842
SPAN 369,SPAN 369,0.99999994
SPAN 369,ARCN 112,0.86591715
SPAN 369,RELG 110,0.8561042
SPAN 369,RELG 221,0.82447535
SPAN 369,GERM 221,0.8004451
SPAN 369,HIST 209,0.7659162
SPAN 369,PSYC 382,0.7633953
STAT 120,STAT 120,0.9999999
STAT 120,STAT 230,0.8636225
STAT 120,MATH 236,0.83067113
STAT 120,STAT 220,0.80363905
STAT 120,STAT 250,0.76835304
STAT 120,PSYC 216,0.7678248
STAT 120,BIOL 352,0.7656972
STAT 220,STAT 220,0.99999994
STAT 220,STAT 230,0.86831325
STAT 220,PHYS 234,0.86342657
STAT 220,MATH 134,0.8313342
STAT 220,MATH 236,0.83114034
STAT 220,CS 111,0.82703006
STAT 220,STAT 250,0.82582265
STAT 230,STAT 230,0.9999998
STAT 230,MATH 236,0.8771573
STAT 230,STAT 250,0.87341577
STAT 230,STAT 220,0.86831325
STAT 230,STAT 120,0.8636225
STAT 230,PHYS 234,0.8197676
STAT 230,ASTR 113,0.791188
STAT 250,STAT 250,0.9999998
STAT 250,STAT 230,0.87341577
STAT 250,CS 111,0.85482526
STAT 250,PSYC 200,0.84552664
STAT 250,STAT 220,0.82582265
STAT 250,PHYS 234,0.82449454
STAT 250,CS 252,0.8103345
STAT 285,STAT 285,0.99999994
STAT 285,THEA 199,0.7731767
STAT 285,MATH 210,0.77205795
STAT 297,MATH 297,0.996016
STAT 297,CHEM 352,0.73251534
STAT 297,ARTS 262,0.7010028
STAT 320,CS 254,0.80285764
STAT 320,STAT 250,0.7955844
STAT 320,PSYC 200,0.7899861
THEA 110,THEA 110,0.99999994
THEA 110,PHYS 142,0.84396327
THEA 110,CHEM 352,0.81558716
THEA 110,GEOL 240,0.79435927
THEA 110,NEUR 239,0.7818298
THEA 110,PHYS 145,0.75173545
THEA 185,THEA 185,0.99999994
THEA 185,ARTS 139,0.8047672
THEA 185,ASTR 113,0.78743047
THEA 185,ARTS 122,0.7734619
THEA 185,ARTS 339,0.7577305
THEA 190,THEA 190,0.9999999
THEA 190,DANC 206,0.86441886
THEA 190,IDSC 280,0.8556966
THEA 190,CAMS 272,0.75926286
THEA 199,EDUC 385,0.8160057
THEA 199,STAT 285,0.7731767
THEA 199,IDSC 298,0.7598099
THEA 226,GERM 217,0.735058
THEA 226,THEA 185,0.7286953
THEA 226,ARTS 139,0.72591615
THEA 245,EDUC 385,0.7214831
THEA 245,PHYS 123,0.68103105
THEA 245,MUSC 204,0.6672637
