Course,First Node Count,Second Node Count
HIST 347-00 - The Global Cold War,13,13
JAPN 103-01 - Elementary Japanese,13,13
JAPN 206-00 - Japanese in Cultural Context,8,8
JAPN 343-00 - Nature in Popular Media,11,11
LATN 103-00 - Intro Latin Prose and Poetry,10,10
LATN 240-00 - Catullus to Taylor Swift,6,6
LING 110-00 - Introduction to Linguistics,5,5
LING 115-00 - Intro to the Theory of Syntax,6,6
LING 135-00 - Intro to Sociolinguistics,7,7
LING 319-00 - Sociolinguistic Field Methods,14,14
LTAM 220-00 - Eating the Americas,7,7
MATH 111-00 - Introduction to Calculus,9,9
MATH 120-00 - Calculus 2,13,13
MATH 134-00 - Linear Algebra with Applications,7,7
MATH 210-00 - Calculus 3,9,9
MATH 232-01 - Linear Algebra,6,6
MATH 236-01 - Mathematical Structures,5,5
MATH 241-00 - Ordinary Differentl Equations,6,6
MATH 271-00 - Optimization,4,4
MATH 331-00 - Real Analysis II,7,7
MATH 341-00 - Partial Differential Equations,11,11
MATH 342-00 - Abstract Algebra I,9,9
MELA 230-00 - Jewish Collective Memory,3,3
MUSC 127-00 - Music and Censorship,12,12
MUSC 204-00 - Theory II: Musical Structures,6,6
"MUSC 217-00 - Opera: Stage, Screen, Recordng",5,5
MUSC 221-00 - Electronic Music Composition,8,8
MUSC 227-00 - Percept & Cogn of Music,7,7
MUSC 313-00 - Video Game Music,18,18
"NEUR 238-00 - Neurons, Circuits and Behavior",4,4
PHIL 119-00 - Meaning of Life,4,4
PHIL 124-00 - Friendship,14,14
PHIL 209-00 - Philosophy of Theater,3,3
PHIL 210-00 - Logic,6,6
PHIL 219-00 - American Pragmatism,5,5
PHIL 270-00 - Ancient Greek Philosophy,7,7
PHYS 233-00 - Astrophysics II,15,15
PHYS 234-00 - Cmptr Simulatn/Complex Phys Sy,9,9
PHYS 341-00 - Waves,10,10
PHYS 352-00 - Advanced Elect & Magnetism,8,8
POSC 120-00 - Democracy and Dictatorship,9,9
POSC 160-00 - Political Philosophy,3,3
POSC 170-00 - International Relations and World Politics,3,3
POSC 201-00 - Statecraft & Tools Natl Power,7,7
POSC 206-00 - Judges and Courts,5,5
POSC 230-00 - Methods of Political Research,5,5
POSC 231-00 - American Foreign Policy,3,3
POSC 242-00 - Middle East Politics,8,8
POSC 252-00 - Theoretical Foundations of the American Regime,4,4
POSC 266-00 - Urban Political Economy,5,5
POSC 272-00 - Constitutional Law II,3,3
POSC 302-00 - Subord Pols/Intergrp Reltns,9,9
"POSC 315-00 - Polarization, Parties & Power",9,9
POSC 322-00 - Polarization Populism in LatAm,4,4
POSC 333-00 - Glob Soc Changs & Sustainblty,3,3
"POSC 348-00 - Strangers, Foreigners, and Exiles",11,11
PSYC 110-01 - Principles of Psychology,3,3
PSYC 200-00 - Measurement and Data Analysis in Psychology,5,5
PSYC 216-00 - Behavioral Neuroscience,5,5
PSYC 220-00 - Sensation and Perception,8,8
PSYC 256-00 - Soc Behav & Interpersnl Process,7,7
PSYC 354-00 - Counseling Psychology,9,9
PSYC 382-00 - Topic Social & Personality: Endings,9,9
PSYC 389-00 - LGBTQ+ Psychology,5,5
RELG 110-00 - Understanding Religion,8,8
RELG 121-00 - Introduction to Christianity,8,8
RELG 155-00 - Hinduism: An Introduction,3,3
"RELG 213-00 - Religion, Medicine, & Healing",11,11
RELG 221-00 - Judaism and Gender,3,3
RELG 261-00 - Race & Emp in American Islam,8,8
RELG 344-00 - Lived Religion in America,4,4
RUSS 103-00 - Elementary Russian,13,13
SOAN 110-00 - Introduction to Anthropology,10,10
SOAN 111-00 - Introduction to Sociology,7,7
SOAN 214-00 - Neighborhoods and Cities,4,4
SOAN 228-00 - Public Sociology of Religion,4,4
SOAN 240-00 - Methods of Social Research,6,6
SOAN 262-00 - Anthro of Health & Illness,10,10
SOAN 312-00 - (Im)politeness/(Dis)respect in Lang,5,5
SOAN 313-00 - Woke Nature,5,5
SOAN 323-00 - Mother Earth,5,5
SPAN 103-01 - Intermediate Spanish,10,10
SPAN 205-00 - Conversation & Composition,7,7
SPAN 220-00 - Latin American Narrative,7,7
SPAN 263-00 - Hist of Human Rights,4,4
SPAN 369-00 - The Carnival Trail,12,12
STAT 120-01 - Introduction to Statistics,9,9
STAT 220-00 - Introduction to Data Science,4,4
STAT 230-00 - Applied Regression Analysis,12,12
STAT 250-00 - Intro to Statistical Inference,10,10
STAT 320-00 - Time Series Analysis,6,6
THEA 110-00 - Beginning Acting,4,4
THEA 185-00 - The Speaking Voice,9,9
THEA 209-01 - Project Course (Shakespeare's Twelfth Night: A Project Course),8,8
THEA 226-00 - Avant-Garde Theater & Perform,7,7
THEA 245-00 - Directing,8,8
THEA 309-00 - Project Course (Shakespeare's Twelfth Night),8,8
