Course,Most_Similar_Course,Similarity
PSYC 216,PSYC 256,0.9062214
PSYC 216,PSYC 217,0.8956478
PSYC 216,PSYC 257,0.89535505
PSYC 217,PSYC 216,0.8956478
PSYC 217,PSYC 257,0.81917363
PSYC 217,BIOL 352,0.7898328
PSYC 220,PSYC 216,0.7943155
PSYC 220,MUSC 227,0.78667617
PSYC 220,PSYC 257,0.7340155
PSYC 256,PSYC 216,0.9062214
PSYC 256,PSYC 257,0.86015594
PSYC 256,BIOL 241,0.81660587
PSYC 257,PSYC 216,0.89535505
PSYC 257,PSYC 256,0.86015594
PSYC 257,BIOL 241,0.83416295
PSYC 354,ECON 269,0.7051086
PSYC 354,PSYC 257,0.6868435
PSYC 354,ARTS 252,0.6754576
PSYC 382,LING 135,0.7791933
PSYC 382,ARCN 112,0.70744383
PSYC 382,GERM 221,0.69597965
PSYC 389,POSC 206.00,0.8462728
PSYC 389,ENGL 230,0.7742598
PSYC 389,SOAN 228,0.7722279
RELG 110,HIST 308,0.8505575
RELG 110,HIST 251,0.84379554
RELG 110,ASST 285,0.82991225
RELG 121,HIST 308,0.7782983
RELG 121,HIST 265,0.7436751
RELG 121,SOAN 228,0.7396968
RELG 155,ENGL 202,0.7831605
RELG 155,PHIL 270,0.7646889
RELG 155,AMST 269,0.72814304
RELG 213,RELG 265,0.80891234
RELG 213,POSC 170,0.792197
RELG 213,POSC 302,0.76533324
RELG 221,RELG 265,0.84676045
RELG 221,MELA 230,0.8293009
RELG 221,HIST 209,0.8052945
RELG 261,HIST 347,0.857436
RELG 261,HIST 308,0.80062896
RELG 261,RELG 110,0.74414486
RELG 265,RELG 221,0.84676045
RELG 265,RELG 213,0.80891234
RELG 265,MELA 230,0.76789826
RELG 344,AMST 269,0.7923787
RELG 344,AMST 115,0.7114999
RELG 344,RELG 155,0.70458466
RUSS 103,RUSS 307,0.88128245
RUSS 103,RUSS 209,0.8506
RUSS 103,RUSS 309,0.82364583
RUSS 110,RUSS 309,0.8445974
RUSS 110,RUSS 228F,0.8060349
RUSS 110,CHIN 103,0.78431785
RUSS 207,RUSS 209,0.8834916
RUSS 207,RUSS 309,0.86567044
RUSS 207,RUSS 307,0.8106993
RUSS 209,RUSS 207,0.8834916
RUSS 209,RUSS 103,0.8506
RUSS 209,RUSS 309,0.825569
RUSS 228,HIST 265,0.71109486
RUSS 228,ARCN 112,0.70148325
RUSS 228,FREN 255,0.67837155
RUSS 228F,RUSS 110,0.8060349
RUSS 228F,IDSC 202,0.8001936
RUSS 228F,EUST 101.07,0.7912457
RUSS 266,BIOL 378,0.7173655
RUSS 266,SPAN 369,0.7090502
RUSS 266,PHIL 124,0.6951042
RUSS 267,EDUC 242,0.76243114
RUSS 267,POSC 315,0.7245381
RUSS 267,BIOL 378,0.7090666
RUSS 307,RUSS 103,0.88128245
RUSS 307,RUSS 309,0.859412
RUSS 307,RUSS 207,0.8106993
RUSS 309,RUSS 207,0.86567044
RUSS 309,RUSS 307,0.859412
RUSS 309,RUSS 110,0.8445974
SOAN 110,POSC 160,0.7604995
SOAN 110,GRK 226,0.72432923
SOAN 110,CLAS 240,0.7092897
SOAN 111,FREN 245,0.71895206
SOAN 111,JAPN 103,0.6997253
SOAN 111,ENGL 338,0.6781969
SOAN 214,POSC 266,0.5881244
SOAN 214,ECON 277,0.5665608
SOAN 214,RELG 265,0.5411412
SOAN 228,AMST 269,0.78712857
SOAN 228,PSYC 389,0.7722279
SOAN 228,ENGL 230,0.74532074
SOAN 240,CAMS 186,0.73619664
SOAN 240,LING 319,0.71864885
SOAN 240,CS 257,0.7105106
SOAN 262,POSC 170,0.71644443
SOAN 262,MUSC 227,0.71616966
SOAN 262,SOAN 313,0.7078411
SOAN 312,AMST 269,0.7476723
SOAN 312,MUSC 127,0.69636935
SOAN 312,SOAN 228,0.69618607
SOAN 313,RELG 121,0.73586047
SOAN 313,SOAN 262,0.7078411
SOAN 313,SOAN 323,0.692765
SOAN 323,POSC 315,0.7833154
SOAN 323,SOAN 313,0.692765
SOAN 323,RUSS 207,0.65201944
SPAN 103,FREN 103,0.9585514
SPAN 103,GRK 102,0.88233644
SPAN 103,JAPN 206,0.81832933
SPAN 205,GRK 102,0.77132446
SPAN 205,SPAN 103,0.76510745
SPAN 205,HEBR 102,0.7643507
SPAN 208,FREN 210,0.8253401
SPAN 208,PHIL 202,0.7645974
SPAN 208,CHIN 358,0.7311234
SPAN 220,CLAS 142,0.8056597
SPAN 220,LATN 240,0.784031
SPAN 220,SPAN 369,0.73334485
SPAN 263,PSYC 389,0.75948215
SPAN 263,GERM 217,0.7116143
SPAN 263,MUSC 217,0.7069163
SPAN 369,GERM 221,0.8232659
SPAN 369,RELG 110,0.81812
SPAN 369,CLAS 142,0.8047238
STAT 120,STAT 230,0.83838284
STAT 120,STAT 220,0.8079742
STAT 120,MATH 236,0.80368316
STAT 220,STAT 230,0.8677497
STAT 220,CS 111,0.84988886
STAT 220,MATH 236,0.82832533
STAT 230,STAT 220,0.8677497
STAT 230,MATH 236,0.85697937
STAT 230,ASTR 113,0.8448545
STAT 250,PSYC 200,0.8397382
STAT 250,STAT 230,0.8393933
STAT 250,CS 111,0.834306
STAT 285,MATH 210,0.7709541
STAT 285,PSYC 201,0.7452196
STAT 285,THEA 199,0.7017664
STAT 297,MATH 297,0.98824877
STAT 297,CHEM 352,0.7236552
STAT 297,STAT 250,0.7187325
STAT 320,CS 254,0.7730787
STAT 320,STAT 250,0.772832
STAT 320,PSYC 200,0.70018196
THEA 110,PHYS 142,0.87002707
THEA 110,CHEM 352,0.82379293
THEA 110,GEOL 240,0.80718184
THEA 185,ARTS 122,0.781064
THEA 185,ASTR 113,0.76356035
THEA 185,ARTS 139,0.76314455
THEA 190,DANC 206,0.86041695
THEA 190,IDSC 280,0.846373
THEA 190,CAMS 229,0.77305436
THEA 199,EDUC 385,0.75256896
THEA 199,RUSS 228F,0.7329826
THEA 199,THEA 190,0.7162987
THEA 226,ARTS 122,0.75192326
THEA 226,PHIL 124,0.690542
THEA 226,THEA 185,0.67900175
THEA 245,DANC 148,0.6835254
THEA 245,STAT 297,0.6599543
THEA 245,MATH 297,0.6539091
