Course,Most_Similar_Course,Similarity
CHEM 224,CHEM 348,0.81409717
CHEM 224,CHEM 234,0.80591464
CHEM 234,CHEM 224,0.80591464
CHEM 234,CHEM 352,0.80236554
CHEM 234,PSYC 201,0.7966071
CHEM 300.00,IDSC 289,0.82987523
CHEM 300.00,NEUR 395,0.7832683
CHEM 300.00,IDSC 202,0.75971717
CHEM 348,CHEM 224,0.81409717
CHEM 348,ASTR 113,0.76594263
CHEM 348,PSYC 201,0.7623062
CHEM 349,CHEM 352,0.89540166
CHEM 349,THEA 110,0.787134
CHEM 349,ECON 110,0.786026
CHEM 351,CHEM 224,0.8660719
CHEM 351,MATH 331,0.78285253
CHEM 351,ARTS 374,0.77518964
CHEM 352,CHEM 349,0.89540166
CHEM 352,THEA 110,0.82379293
CHEM 352,PHYS 145,0.8033063
CHEM 362,CHEM 351,0.75354207
CHEM 362,CS 251,0.71525973
CHEM 362,CGSC 330,0.71305907
CHIN 103,RUSS 309,0.79816014
CHIN 103,RUSS 110,0.78431785
CHIN 103,RUSS 307,0.7614751
CHIN 206,JAPN 206,0.7664418
CHIN 206,ARTS 262,0.76025957
CHIN 206,CHIN 358,0.73212016
CHIN 251,HIST 265,0.7590728
CHIN 251,ASST 285,0.7574061
CHIN 251,EUST 101.07,0.7484758
CHIN 358,CHIN 206,0.73212016
CHIN 358,SPAN 208,0.7311234
CHIN 358,ENGL 338,0.7094436
CLAS 123,HIST 251,0.8829909
CLAS 123,JAPN 343,0.8098636
CLAS 123,HIST 201,0.7907322
CLAS 142,SPAN 220,0.8056597
CLAS 142,SPAN 369,0.8047238
CLAS 142,HIST 276,0.8037961
CLAS 214,RELG 221,0.77915406
CLAS 214,HIST 229,0.75430506
CLAS 214,ENGL 338,0.73046184
CLAS 240,HIST 209,0.7817024
CLAS 240,AFST 300,0.761734
CLAS 240,POSC 302,0.74054056
CS 111,CS 257,0.8666712
CS 111,STAT 220,0.84988886
CS 111,STAT 250,0.834306
CS 201,CS 311,0.8420372
CS 201,ENGL 268,0.7547846
CS 201,CS 208,0.73404616
CS 202,MATH 271,0.76771545
CS 202,ECON 265,0.7676889
CS 202,CS 111,0.7439383
CS 208,CS 257,0.884105
CS 208,LING 135,0.8220244
CS 208,CS 311,0.819884
CS 251,CS 257,0.80743504
CS 251,CS 252,0.7737219
CS 251,CS 111,0.74795395
CS 252,CS 348,0.81425864
CS 252,CS 111,0.81329936
CS 252,CS 251,0.7737219
CS 254,PSYC 200,0.82729125
CS 254,MATH 236,0.8226602
CS 254,STAT 320,0.7730787
CS 257,CS 208,0.884105
CS 257,CS 111,0.8666712
CS 257,CS 311,0.814294
CS 304,CS 208,0.7472039
CS 304,CS 347,0.74448216
CS 304,LING 135,0.7120433
CS 311,CS 201,0.8420372
CS 311,CS 208,0.819884
CS 311,CS 257,0.814294
CS 320,CS 257,0.66010064
CS 320,CS 208,0.6393655
CS 320,CS 251,0.6318342
CS 347,CS 304,0.74448216
CS 347,NEUR 239,0.7358798
CS 347,CHEM 300.00,0.7104376
CS 348,CS 252,0.81425864
CS 348,MATH 271,0.7598935
CS 348,PSYC 200,0.7297145
CS 361,NEUR 395,0.6984236
CS 361,ASTR 113,0.6945497
CS 361,CGSC 130.00,0.69284326
DANC 107,HEBR 102,0.82700247
DANC 107,ARTS 230,0.8232325
DANC 107,ARTS 262,0.7817082
DANC 148,PHYS 342,0.7387087
DANC 148,DANC 107,0.7123681
DANC 148,CAMS 110,0.6945686
DANC 190,DANC 350,0.84874266
DANC 190,PHYS 342,0.8087316
DANC 190,ECON 110,0.76693743
DANC 200,DANC 208,0.80935514
DANC 200,THEA 110,0.7837465
DANC 200,GEOL 255,0.7727141
DANC 206,THEA 190,0.86041695
DANC 206,RUSS 228F,0.7774064
DANC 206,RUSS 110,0.77580935
DANC 208,DANC 200,0.80935514
DANC 208,DANC 309,0.80867493
DANC 208,BIOL 125,0.7778379
DANC 279,CHEM 349,0.7460786
DANC 279,DANC 190,0.73924136
DANC 279,PHYS 342,0.73299813
DANC 309,DANC 208,0.80867493
DANC 309,DANC 200,0.75522053
DANC 309,THEA 185,0.73340946
DANC 310,CAMS 110,0.79746777
DANC 310,GEOL 240,0.77098596
DANC 310,NEUR 239,0.75995415
DANC 350,DANC 190,0.84874266
DANC 350,DANC 206,0.7446277
DANC 350,PHYS 342,0.708988
DGAH 398,RUSS 103,0.77576095
DGAH 398,RUSS 307,0.7691359
DGAH 398,NEUR 395,0.74991506
ECON 110,ECON 111,0.9255225
ECON 110,PHYS 342,0.8426983
ECON 110,BIOL 240,0.8072534
