Course_1,Course_2,Similarity
AFST 289,HIST 116,0.2617368
AFST 289,HIST 153,0.4859761
AFST 289,HIST 201,0.537771
AFST 289,HIST 205,0.7009678
AFST 289,HIST 206,0.41721094
AFST 289,HIST 209,0.5080884
AFST 289,HIST 229,0.6156004
AFST 289,HIST 251,0.60428095
AFST 289,HIST 265,0.37290156
AFST 289,HIST 270,0.48000953
AFST 289,HIST 276,0.5923091
AFST 289,HIST 287,0.49788785
AFST 289,HIST 298,-0.014057052
AFST 289,HIST 308,0.69371814
AFST 289,HIST 347,0.58122945
AFST 289,IDSC 198,-0.005617575
AFST 289,IDSC 202,0.13744877
AFST 289,IDSC 238,0.7509855
AFST 289,IDSC 251,0.061264787
AFST 289,IDSC 280,-0.06709643
AFST 289,IDSC 289,-0.14917548
AFST 289,IDSC 298,-0.04485887
AFST 289,JAPN 103,0.31888232
AFST 289,JAPN 206,0.20208734
AFST 289,JAPN 343,0.6323132
AFST 289,LATN 103,0.19272675
AFST 289,LATN 240,0.22099183
AFST 289,LING 110,0.3849363
AFST 289,LING 115,0.122379944
AFST 289,LING 135,0.28639698
AFST 289,LING 319,-0.1473216
AFST 289,LTAM 220,0.36425674
AFST 289,LTAM 398,0.05464638
AFST 289,MATH 111,0.58232
AFST 289,MATH 120,0.523696
AFST 289,MATH 134,0.30599874
AFST 289,MATH 210,0.47081625
AFST 289,MATH 232,0.23448284
AFST 289,MATH 236,0.44751048
AFST 289,MATH 241,0.48633438
AFST 289,MATH 271,-0.0012305473
AFST 289,MATH 297,0.086419545
AFST 289,MATH 331,0.08697128
AFST 289,MATH 341,0.41567066
AFST 289,MATH 342,0.47013834
AFST 289,MELA 230,0.5509281
AFST 289,MEST 395,0.09342607
AFST 289,MUSC 127,0.38020164
AFST 289,MUSC 204,0.11084005
AFST 289,MUSC 217,0.55064034
AFST 289,MUSC 221,0.10825594
AFST 289,MUSC 227,0.35027128
AFST 289,MUSC 299,0.17562668
AFST 289,MUSC 313,0.32745618
AFST 289,NEUR 238,0.49128568
AFST 289,NEUR 239,0.3004182
AFST 289,NEUR 395,0.24442215
AFST 289,PHIL 119,0.13298647
