Course Title,Similar Course,Similarity Score
CHEM 348,CHEM 123,0.46
CHEM 348,CHEM 224,0.37
CHEM 348,CHEM 349,0.32
CHEM 349,BIOL 241,0.38
CHEM 349,BIOL 353,0.38
CHEM 349,CHEM 352,0.38
CHEM 351,CHEM 123,0.37
CHEM 351,CHEM 224,0.26
CHEM 351,CHEM 348,0.21
CHEM 352,CHEM 349,0.38
CHEM 352,CHEM 234,0.29
CHEM 352,BIOL 241,0.25
CHEM 362,BIOL 241,0.15
CHEM 362,CHEM 348,0.15
CHEM 362,CHEM 123,0.13
CHEM 400,ARTS 400,0.48
CHEM 400,PHYS 400,0.39
CHEM 400,GEOL 400,0.35
CHIN 103,MUSC 182,0.53
CHIN 103,MUSC 182J,0.53
CHIN 103,MUSC 282,0.53
CHIN 206,JAPN 206,0.47
CHIN 206,MUSC 182,0.45
CHIN 206,MUSC 182J,0.45
CHIN 251,MUSC 182,0.38
CHIN 251,MUSC 182J,0.38
CHIN 251,MUSC 282,0.38
CHIN 358,CHIN 206,0.38
CHIN 358,MUSC 182,0.26
CHIN 358,MUSC 182J,0.26
CLAS 123,CLAS 214,0.19
CLAS 123,ARCN 112,0.18
CLAS 123,ARTS 322,0.17
CLAS 142,GRK 226,0.22
CLAS 142,CLAS 214,0.15
CLAS 142,CLAS 123,0.11
CLAS 214,RELG 221,0.33
CLAS 214,GWSS 110,0.30
CLAS 214,AMST 115,0.20
CLAS 240,HIST 201,0.31
CLAS 240,POSC 160,0.18
CLAS 240,POSC 302,0.16
CS 111,CS 252,0.37
CS 111,CS 257,0.26
CS 111,CS 251,0.24
CS 201,STAT 220,0.26
CS 201,CS 208,0.24
CS 201,CS 202,0.19
CS 202,MATH 236,0.26
CS 202,STAT 220,0.21
CS 202,PHYS 352,0.20
CS 208,CS 201,0.24
CS 208,STAT 220,0.23
CS 208,CS 257,0.20
CS 251,CS 252,0.28
CS 251,CS 111,0.24
CS 251,CS 348,0.21
CS 252,CS 111,0.37
CS 252,STAT 220,0.28
CS 252,CS 251,0.28
CS 254,CS 348,0.18
CS 254,CS 202,0.14
CS 254,MATH 342,0.13
CS 257,CS 111,0.26
CS 257,CS 252,0.21
CS 257,CS 208,0.20
CS 304,POSC 232.01,0.22
CS 304,POSC 302,0.22
CS 304,POSC 230,0.18
CS 311,CS 111,0.18
CS 311,CS 202,0.16
CS 311,THEA 309,0.15
CS 320,EDUC 110,0.17
CS 320,POSC 272,0.15
CS 320,CS 252,0.14
CS 347,THEA 199,0.37
CS 347,STAT 285,0.30
CS 347,PE 156,0.30
CS 348,CS 251,0.21
CS 348,CS 252,0.19
CS 348,CS 254,0.18
CS 361,BIOL 378,0.34
CS 361,PHIL 119,0.19
CS 361,GEOL 230,0.17
DANC 107,PE 156,0.27
DANC 107,DANC 208,0.22
DANC 107,THEA 199,0.22
DANC 148,DANC 279,0.22
DANC 148,THEA 199,0.18
DANC 148,PHYS 142,0.17
DANC 190,DANC 279,0.17
DANC 190,PE 143,0.17
DANC 190,ECON 398,0.14
DANC 200,CHIN 103,0.27
DANC 200,JAPN 103,0.27
DANC 200,DANC 208,0.21
DANC 206,ARTS 400,0.26
DANC 206,SOAN 400,0.24
DANC 206,PE 259,0.19
DANC 208,DANC 309,0.40
DANC 208,DANC 107,0.22
DANC 208,DANC 200,0.21
DANC 279,DANC 148,0.22
DANC 279,DANC 107,0.18
DANC 279,DANC 190,0.17
DANC 309,DANC 208,0.40
DANC 309,DANC 107,0.19
DANC 309,ENGL 370,0.19
DANC 310,THEA 185,0.20
DANC 310,SOAN 240,0.16
DANC 310,POSC 230,0.15
DGAH 398,CAMS 111,0.25
DGAH 398,MUSC 221,0.21
DGAH 398,ARTS 139,0.17
ECON 110,ECON 111,0.48
ECON 110,POSC 201,0.22
ECON 110,ECON 270,0.21
ECON 111,ECON 110,0.48
ECON 111,ECON 270,0.22
ECON 111,CHEM 224,0.19
ECON 265,ECON 110,0.14
ECON 265,POSC 201,0.12
ECON 265,PSYC 200,0.11
ECON 269,POSC 201,0.20
ECON 269,ENGL 295,0.20
ECON 269,THEA 199,0.20
ECON 270,ECON 111,0.22
ECON 270,ECON 110,0.21
ECON 270,PSYC 200,0.20
ECON 274,HIST 229,0.23
ECON 274,PHYS 123,0.22
ECON 274,EDUC 110,0.17
ECON 277,POSC 231,0.20
ECON 277,PSYC 354,0.16
ECON 277,STAT 285,0.15
ECON 280,POSC 120,0.17
ECON 280,POSC 231,0.16
ECON 280,POSC 170,0.14
ECON 330,ECON 331,0.63
ECON 330,SOAN 313,0.14
ECON 330,ECON 270,0.13
ECON 331,ECON 330,0.63
ECON 331,ECON 270,0.17
ECON 331,DANC 200,0.15
ECON 398,SOAN 240,0.37
ECON 398,POSC 230,0.36
ECON 398,CHEM 300.00,0.35
EDUC 110,EDUC 395,0.26
EDUC 110,CS 320,0.17
