Course Title,Similar Course,Similarity Score
CHEM 224,STAT 250,0.35
CHEM 234,CGSC 330,0.46
CHEM 234,CGSC 400,0.37
CHEM 234,CHEM 300.00,0.32
CHEM 300.00,BIOL 240,0.38
CHEM 300.00,BIOL 352,0.38
CHEM 300.00,CHEM 349,0.38
CHEM 348,CGSC 330,0.37
CHEM 348,CGSC 400,0.26
CHEM 348,CHEM 234,0.21
CHEM 349,CHEM 300.00,0.38
CHEM 349,CHEM 123,0.29
CHEM 349,BIOL 240,0.25
CHEM 351,BIOL 240,0.15
CHEM 351,CHEM 234,0.15
CHEM 351,CGSC 330,0.13
CHEM 352,ARTS 400,0.48
CHEM 352,PHYS 234,0.39
CHEM 352,GEOL 230,0.35
CHEM 362,MUSC 180,0.53
CHEM 362,MUSC 180J,0.53
CHEM 362,MUSC 280,0.53
CHEM 400,IDSC 280,0.47
CHEM 400,MUSC 180,0.45
CHEM 400,MUSC 180J,0.45
CHIN 103,MUSC 180,0.38
CHIN 103,MUSC 180J,0.38
CHIN 103,MUSC 280,0.38
CHIN 206,CHEM 400,0.38
CHIN 206,MUSC 180,0.26
CHIN 206,MUSC 180J,0.26
CHIN 251,CLAS 123,0.19
CHIN 251,ARCN 112,0.18
CHIN 251,ARTS 322,0.17
CHIN 358,GERM 221,0.22
CHIN 358,CLAS 123,0.15
CHIN 358,CHIN 251,0.11
CLAS 123,PSYC 389,0.33
CLAS 123,GERM 400,0.30
CLAS 123,AMST 115,0.20
CLAS 142,HEBR 102,0.31
CLAS 142,PHYS 341,0.18
CLAS 142,POSC 232.02,0.16
CLAS 214,CS 208,0.37
CLAS 214,CS 252,0.26
CLAS 214,CS 202,0.24
CLAS 240,SPAN 103,0.26
CLAS 240,CS 201,0.24
CLAS 240,CS 111,0.19
CS 111,MATH 120,0.26
CS 111,SPAN 103,0.21
CS 111,PHYS 233,0.20
CS 201,CLAS 240,0.24
CS 201,SPAN 103,0.23
CS 201,CS 252,0.20
CS 202,CS 208,0.28
CS 202,CLAS 214,0.24
CS 202,CS 320,0.21
CS 208,CLAS 214,0.37
CS 208,SPAN 103,0.28
CS 208,CS 202,0.28
CS 251,CS 320,0.18
CS 251,CS 111,0.14
CS 251,MATH 271,0.13
CS 252,CLAS 214,0.26
CS 252,CS 208,0.21
CS 252,CS 201,0.20
CS 254,POSC 170,0.22
CS 254,POSC 232.02,0.22
CS 254,POSC 120,0.18
CS 257,CLAS 214,0.18
CS 257,CS 111,0.16
CS 257,STAT 400,0.15
CS 304,ECON 331,0.17
CS 304,POSC 232.01,0.15
CS 304,CS 208,0.14
CS 311,STAT 250,0.37
CS 311,SPAN 220,0.30
CS 311,PE 140,0.30
CS 320,CS 202,0.21
CS 320,CS 208,0.19
CS 320,CS 251,0.18
CS 347,BIOL 370,0.34
CS 347,PE 289,0.19
CS 347,FREN 359,0.17
CS 348,PE 140,0.27
CS 348,DANC 200,0.22
CS 348,STAT 250,0.22
CS 361,DANC 206,0.22
CS 361,DANC 309,0.18
CS 361,STAT 250,0.18
DANC 107,DANC 206,0.17
DANC 107,PE 129,0.17
DANC 107,DANC 309,0.15
DANC 148,CHEM 362,0.27
DANC 148,IDSC 251,0.27
