Course_1,Course_2,Similarity
AFST 289,HIST 116,0.17098758
AFST 289,HIST 153,0.57313
AFST 289,HIST 201,0.4460273
AFST 289,HIST 205,0.7950967
AFST 289,HIST 206,0.27952316
AFST 289,HIST 209,0.5391434
AFST 289,HIST 229,0.55046225
AFST 289,HIST 251,0.6333189
AFST 289,HIST 265,0.45953816
AFST 289,HIST 270,0.48283815
AFST 289,HIST 276,0.49574623
AFST 289,HIST 287,0.55402684
AFST 289,HIST 298,0.033613745
AFST 289,HIST 308,0.7166873
AFST 289,HIST 347,0.44984585
AFST 289,IDSC 198,0.009315111
AFST 289,IDSC 202,0.014685182
AFST 289,IDSC 238,0.7326188
AFST 289,IDSC 251,0.038792886
AFST 289,IDSC 280,-0.14412619
AFST 289,IDSC 289,-0.19006321
AFST 289,IDSC 298,-0.05974223
AFST 289,JAPN 103,0.40643075
AFST 289,JAPN 206,0.1532313
AFST 289,JAPN 343,0.6132392
AFST 289,LATN 103,0.16376548
AFST 289,LATN 240,0.19918475
AFST 289,LING 110,0.4539896
AFST 289,LING 115,0.22610185
AFST 289,LING 135,0.4036171
AFST 289,LING 319,-0.08261812
AFST 289,LTAM 220,0.37146795
AFST 289,LTAM 398,0.026128612
AFST 289,MATH 111,0.6071307
AFST 289,MATH 120,0.4789041
AFST 289,MATH 134,0.3591253
AFST 289,MATH 210,0.3460963
AFST 289,MATH 232,0.27806616
AFST 289,MATH 236,0.43874702
AFST 289,MATH 241,0.61767954
AFST 289,MATH 271,0.047706693
AFST 289,MATH 297,0.16388142
AFST 289,MATH 331,0.23971738
AFST 289,MATH 341,0.41506115
AFST 289,MATH 342,0.5522299
AFST 289,MELA 230,0.484606
AFST 289,MEST 395,0.014082771
AFST 289,MUSC 127,0.29708213
AFST 289,MUSC 204,0.10690502
AFST 289,MUSC 217,0.5265681
AFST 289,MUSC 221,0.006936093
AFST 289,MUSC 227,0.27721646
AFST 289,MUSC 299,0.13561587
AFST 289,MUSC 313,0.4059066
AFST 289,NEUR 238,0.3945252
AFST 289,NEUR 239,0.24936165
AFST 289,NEUR 395,0.106392115
AFST 289,PHIL 119,0.19720396
AFST 289,PHIL 124,0.28347233
AFST 289,PHIL 202,-0.08297984
AFST 289,PHIL 209,0.3348316
AFST 289,PHIL 210,0.29174548
AFST 289,PHIL 219,0.56375945
AFST 289,PHIL 270,0.42412293
AFST 289,PHIL 289,0.16097823
AFST 289,PHYS 123,0.0730173
AFST 289,PHYS 142,0.2861938
AFST 289,PHYS 145,0.23178531
AFST 289,PHYS 234,0.29101992
AFST 289,PHYS 235,0.38423207
AFST 289,PHYS 341,0.50030327
AFST 289,PHYS 342,0.3016965
AFST 289,PHYS 352,0.14649741
AFST 289,POSC 120,0.75698507
AFST 289,POSC 160,0.3864388
AFST 289,POSC 170,0.6197923
AFST 289,POSC 201,0.46705198
AFST 289,POSC 206.00,0.3588969
AFST 289,POSC 230,0.12349105
AFST 289,POSC 231,0.6014476
AFST 289,POSC 232.01,0.2841835
AFST 289,POSC 232.02,-0.1072022
AFST 289,POSC 242,0.45028484
AFST 289,POSC 252,0.14031185
AFST 289,POSC 266,0.37419567
AFST 289,POSC 272,0.05035593
AFST 289,POSC 302,0.42608392
AFST 289,POSC 315,0.6559597
AFST 289,POSC 322,0.68404245
AFST 289,POSC 333,0.3969404
AFST 289,POSC 348,0.6466554
AFST 289,PSYC 110,0.37024772
AFST 289,PSYC 200,0.19129413
AFST 289,PSYC 201,-0.04819891
AFST 289,PSYC 216,0.251343
AFST 289,PSYC 217,-0.015151718
AFST 289,PSYC 220,0.20805721
AFST 289,PSYC 256,0.34721252
AFST 289,PSYC 257,0.25688642
AFST 289,PSYC 354,0.32258752
AFST 289,PSYC 382,0.34225765
AFST 289,PSYC 389,0.34126136
AFST 289,RELG 110,0.6266476
AFST 289,RELG 121,0.60732216
AFST 289,RELG 155,0.31128693
AFST 289,RELG 213,0.519248
AFST 289,RELG 221,0.5627821
AFST 289,RELG 261,0.6871933
AFST 289,RELG 265,0.6054417
AFST 289,RELG 344,0.40478674
AFST 289,RUSS 103,-0.16790257
AFST 289,RUSS 110,-0.074355066
AFST 289,RUSS 207,0.21727927
AFST 289,RUSS 209,0.11441332
AFST 289,RUSS 228,0.333164
AFST 289,RUSS 228F,0.059525542
AFST 289,RUSS 266,0.2717402
AFST 289,RUSS 267,0.28658387
AFST 289,RUSS 307,0.04198801
AFST 289,RUSS 309,0.07896606
AFST 289,SOAN 110,0.4019119
AFST 289,SOAN 111,0.15799052
AFST 289,SOAN 214,0.49885178
AFST 289,SOAN 228,0.4406286
AFST 289,SOAN 240,-0.044810817
AFST 289,SOAN 262,0.7303487
AFST 289,SOAN 312,0.1895955
AFST 289,SOAN 313,0.66474473
AFST 289,SOAN 323,0.5561588
AFST 289,SPAN 103,-0.008809889
AFST 289,SPAN 205,-0.0058109653
AFST 289,SPAN 208,-0.03912579
AFST 289,SPAN 220,0.28734884
AFST 289,SPAN 263,0.3163636
AFST 289,SPAN 369,0.51563144
AFST 289,STAT 120,0.2347892
AFST 289,STAT 220,0.36206248
AFST 289,STAT 230,0.25238228
AFST 289,STAT 250,0.115490034
AFST 289,STAT 285,0.02803418
AFST 289,STAT 297,0.12603815
AFST 289,STAT 320,0.06355618
AFST 289,THEA 110,0.258257
AFST 289,THEA 185,0.44478175
AFST 289,THEA 190,0.11111176
AFST 289,THEA 199,0.07966089
AFST 289,THEA 226,0.3897185
AFST 289,THEA 245,-0.009203673
AFST 300,AFST 289,0.42374566
AFST 300,AFST 300,1.0000001
AFST 300,AMST 115,0.46334472
AFST 300,AMST 269,0.31771597
AFST 300,AMST 321,0.42575464
AFST 300,AMST 396.00,0.65901154
AFST 300,ARBC 103,0.049831938
AFST 300,ARBC 206,0.22272502
AFST 300,ARBC 222,0.18651521
AFST 300,ARBC 223,0.13736823
AFST 300,ARBC 371,0.07887174
AFST 300,ARCN 112,0.5080379
AFST 300,ARCN 222,0.5005906
AFST 300,ARTH 214,0.4458194
AFST 300,ARTH 298,-0.036110107
AFST 300,ARTS 113,0.12946357
AFST 300,ARTS 122,0.16952518
AFST 300,ARTS 139,0.15747812
AFST 300,ARTS 230,0.03955012
AFST 300,ARTS 252,-0.17194805
AFST 300,ARTS 262,0.21655488
AFST 300,ARTS 298,0.104856804
AFST 300,ARTS 322,-0.06794229
AFST 300,ARTS 339,0.060419776
AFST 300,ARTS 374,-0.11897862
AFST 300,ASLN 111,0.21954583
AFST 300,ASST 110,0.4174681
AFST 300,ASST 285,0.51073945
AFST 300,ASTR 113,0.02715139
AFST 300,ASTR 233,0.2736468
AFST 300,BIOC 311,0.040835444
AFST 300,BIOC 331,0.03039134
AFST 300,BIOL 125,-0.038944557
AFST 300,BIOL 126,-0.07398304
AFST 300,BIOL 240,0.034743767
AFST 300,BIOL 241,0.0046463814
AFST 300,BIOL 352,-0.10803242
AFST 300,BIOL 353,0.3684044
AFST 300,BIOL 370,0.10248218
AFST 300,BIOL 378,0.61336255
AFST 300,CAMS 110,-0.046436116
AFST 300,CAMS 111,-0.036838062
AFST 300,CAMS 186,0.4928749
AFST 300,CAMS 187,0.25540966
AFST 300,CAMS 214,0.37153023
AFST 300,CAMS 229,0.0672182
AFST 300,CAMS 230,0.29568836
AFST 300,CAMS 265,0.06812344
AFST 300,CAMS 272,0.00935212
AFST 300,CAMS 277,0.1395153
AFST 300,CCST 208,0.3377927
AFST 300,CGSC 130.00,-0.12139477
AFST 300,CGSC 330,0.013862958
AFST 300,CHEM 123,0.09531886
AFST 300,CHEM 224,-0.14432032
AFST 300,CHEM 234,-0.32565653
AFST 300,CHEM 300.00,0.1280912
AFST 300,CHEM 348,-0.22859137
AFST 300,CHEM 349,-0.04172625
AFST 300,CHEM 351,-0.23714101
AFST 300,CHEM 352,0.036895063
AFST 300,CHEM 362,-0.15095018
AFST 300,CHIN 103,0.25955567
AFST 300,CHIN 206,0.3932107
AFST 300,CHIN 251,0.24032734
AFST 300,CHIN 358,0.46869427
AFST 300,CLAS 123,0.38742593
AFST 300,CLAS 142,0.622186
AFST 300,CLAS 214,0.6257705
AFST 300,CLAS 240,0.8493253
AFST 300,CS 111,-0.053432707
AFST 300,CS 201,0.44139782
AFST 300,CS 202,0.1262361
AFST 300,CS 208,0.3159948
AFST 300,CS 251,0.2786491
AFST 300,CS 252,0.10848951
AFST 300,CS 254,0.13020356
AFST 300,CS 257,0.28271785
AFST 300,CS 304,0.40213504
AFST 300,CS 311,0.5404177
AFST 300,CS 320,0.11467459
AFST 300,CS 347,0.18237366
AFST 300,CS 348,0.18569148
AFST 300,CS 361,0.08631906
AFST 300,DANC 107,0.12784652
AFST 300,DANC 148,0.24959189
AFST 300,DANC 190,0.019017482
AFST 300,DANC 200,0.10217976
AFST 300,DANC 206,0.07464697
AFST 300,DANC 208,0.15667294
AFST 300,DANC 279,-0.114947654
AFST 300,DANC 309,0.2897747
AFST 300,DANC 310,0.061714806
AFST 300,DANC 350,-0.19562529
AFST 300,DGAH 398,-0.14205855
AFST 300,ECON 110,-0.021299964
AFST 300,ECON 111,-0.007902469
AFST 300,ECON 265,0.12738407
AFST 300,ECON 269,0.09646021
AFST 300,ECON 270,0.007752037
AFST 300,ECON 274,0.60675335
AFST 300,ECON 277,0.30232894
AFST 300,ECON 280,0.19804145
AFST 300,ECON 330,0.023702247
AFST 300,ECON 331,0.085191995
AFST 300,ECON 398,-0.00858091
AFST 300,EDUC 110,0.41358656
AFST 300,EDUC 242,0.53285635
AFST 300,EDUC 338,0.5447658
AFST 300,EDUC 385,0.24626867
AFST 300,EDUC 395,0.26961902
AFST 300,ENGL 109,0.101505026
AFST 300,ENGL 115,0.08276047
AFST 300,ENGL 160,0.16735299
AFST 300,ENGL 202,0.59439987
AFST 300,ENGL 209,0.40912476
AFST 300,ENGL 230,0.09431452
AFST 300,ENGL 253,0.35416716
AFST 300,ENGL 255,0.2484822
AFST 300,ENGL 268,0.16350529
AFST 300,ENGL 295,-0.15288313
AFST 300,ENGL 338,0.5366371
AFST 300,ENGL 370,0.2414236
AFST 300,ENGL 371,0.21398354
AFST 300,ENGL 395.00,0.4727874
AFST 300,EUST 101.07,0.25289327
AFST 300,EUST 207,0.43971637
AFST 300,FREN 103,0.10709198
AFST 300,FREN 208,0.15811212
AFST 300,FREN 210,0.24086554
AFST 300,FREN 245,0.34781545
AFST 300,FREN 254,0.117134854
AFST 300,FREN 255,0.42456326
AFST 300,FREN 259,0.27866173
AFST 300,FREN 310,0.42541453
AFST 300,GEOL 110,0.16140811
AFST 300,GEOL 230,0.075495504
AFST 300,GEOL 240,-0.019944862
AFST 300,GEOL 255,-0.014199351
AFST 300,GERM 103,0.16315374
AFST 300,GERM 217,0.47825068
AFST 300,GERM 221,0.6808019
AFST 300,GRK 102,0.13596044
AFST 300,GRK 226,0.5997821
AFST 300,GWSS 110,0.5769305
AFST 300,GWSS 200,0.630188
AFST 300,GWSS 398.00,0.5239115
AFST 300,HEBR 102,0.1377602
AFST 300,HIST 111,0.3190128
AFST 300,HIST 116,0.5533687
AFST 300,HIST 153,0.42746258
AFST 300,HIST 201,0.47946703
AFST 300,HIST 205,0.4201258
AFST 300,HIST 206,0.8128004
AFST 300,HIST 209,0.8532057
AFST 300,HIST 229,0.61899084
AFST 300,HIST 251,0.5884541
AFST 300,HIST 265,0.41926634
AFST 300,HIST 270,0.6438416
AFST 300,HIST 276,0.6858862
AFST 300,HIST 287,0.37047452
AFST 300,HIST 298,-0.038416713
AFST 300,HIST 308,0.6669988
AFST 300,HIST 347,0.57421964
AFST 300,IDSC 198,-0.0067535997
AFST 300,IDSC 202,0.22605893
AFST 300,IDSC 238,0.36338583
AFST 300,IDSC 251,0.32432127
AFST 300,IDSC 280,-0.017265415
AFST 300,IDSC 289,0.040575776
AFST 300,IDSC 298,0.11870011
AFST 300,JAPN 103,0.19750182
AFST 300,JAPN 206,0.3391323
AFST 300,JAPN 343,0.40984517
AFST 300,LATN 103,-0.11136845
AFST 300,LATN 240,0.55303395
AFST 300,LING 110,0.28645968
AFST 300,LING 115,0.1688963
AFST 300,LING 135,0.40604386
AFST 300,LING 319,0.12660627
AFST 300,LTAM 220,0.6846777
AFST 300,LTAM 398,-0.09976203
AFST 300,MATH 111,0.22596961
AFST 300,MATH 120,0.15176076
